id;NGOname;NGOtype;name;orgType;address;employee;capital;since;registerNo;productType;product;source;enName
;台灣區金屬品冶製工業同業公會;產業公會;興毅科技有限公司;;臺南市佳里區蚶寮里蚶寮10之13號1樓;10;20000;2013/7/29;54081325;鋁合金,;抗磁波冶金特殊材料;https://www.trmsa.org.tw/Member.aspx;
;台灣區金屬品冶製工業同業公會;產業公會;鼎立金屬包裝股份有限公司;;新竹縣新豐鄉重興村建興路2段372號;89;519600000;;46621586;鋁器,鋁罐,鋁合金,;二片式圓形鋁罐.  ;https://www.trmsa.org.tw/Member.aspx;TAIWAN SUPREME METAL PACKAGING CO., LTD.
